	TF BTL Small Studio-L		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
3281.250000	1.52	80.02	0.74
3328.125000	1.52	78.70	0.81
3375.000000	1.52	77.39	0.61
3421.875000	1.52	76.05	0.75
3468.750000	1.52	74.67	0.84
3515.625000	1.51	73.26	0.86
3562.500000	1.50	71.85	0.90
3609.375000	1.49	70.50	0.87
3656.250000	1.48	69.21	0.63
3703.125000	1.47	67.97	0.67
3750.000000	1.46	66.75	0.76
3796.875000	1.46	65.53	0.87
3843.750000	1.46	64.29	0.78
3890.625000	1.47	63.02	0.63
3937.500000	1.47	61.71	0.90
3984.375000	1.47	60.36	0.93
4031.250000	1.46	59.03	0.94
4078.125000	1.46	57.73	0.85
4125.000000	1.45	56.51	0.69
4171.875000	1.45	55.36	0.79
4218.750000	1.46	54.28	0.76
4265.625000	1.48	53.23	0.63
4312.500000	1.51	52.20	0.82
4359.375000	1.56	51.15	0.76
4406.250000	1.62	50.06	0.75
4453.125000	1.68	48.93	0.86
4500.000000	1.74	47.76	0.89
4593.750000	1.79	46.59	0.86
4687.500000	1.88	44.05	0.83
4781.250000	1.94	41.64	0.71
4875.000000	1.99	39.26	0.72
4968.750000	2.01	36.71	0.90
5062.500000	2.02	33.97	0.90
5156.250000	2.00	31.16	0.88
5250.000000	1.97	28.40	0.91
5343.750000	1.92	25.78	0.82
5437.500000	1.88	23.31	0.86
5531.250000	1.83	20.92	0.93
5625.000000	1.76	18.60	0.91
5718.750000	1.69	16.39	0.91
5812.500000	1.61	14.37	0.87
5906.250000	1.53	12.56	0.88
6000.000000	1.48	10.92	0.87
6093.750000	1.45	9.39	0.89
6187.500000	1.43	7.91	0.81
6281.250000	1.43	6.45	0.87
6375.000000	1.44	4.95	0.93
6468.750000	1.46	3.40	0.96
6562.500000	1.48	1.83	0.95
6656.250000	1.50	0.25	0.93
6750.000000	1.54	-1.31	0.92
6843.750000	1.58	-2.84	0.92
6937.500000	1.63	-4.34	0.95
7031.250000	1.68	-5.82	0.93
7125.000000	1.74	-7.28	0.93
7218.750000	1.80	-8.74	0.93
7312.500000	1.87	-10.22	0.97
7406.250000	1.95	-11.73	0.97
7500.000000	2.02	-13.28	0.92
7593.750000	2.09	-14.87	0.91
7687.500000	2.15	-16.51	0.86
7781.250000	2.20	-18.18	0.93
7875.000000	2.24	-19.86	0.92
7968.750000	2.27	-21.52	0.94
8062.500000	2.29	-23.16	0.95
8156.250000	2.31	-24.77	0.95
8250.000000	2.33	-26.33	0.96
8343.750000	2.34	-27.85	0.96
8437.500000	2.36	-29.31	0.94
8531.250000	2.38	-30.73	0.94
8625.000000	2.40	-32.11	0.94
8718.750000	2.43	-33.43	0.97
8812.500000	2.45	-34.70	0.98
8906.250000	2.47	-35.91	0.96
9000.000000	2.50	-37.06	0.95
9187.500000	2.52	-38.17	0.94
9375.000000	2.56	-40.54	0.94
9562.500000	2.59	-42.85	0.94
9750.000000	2.59	-45.12	0.95
9937.500000	2.56	-47.33	0.96
10125.000000	2.49	-49.40	0.96
10312.500000	2.39	-51.24	0.95
10500.000000	2.28	-52.80	0.94
10687.500000	2.16	-54.09	0.93
10875.000000	2.06	-55.16	0.97
11062.500000	1.97	-56.07	0.95
11250.000000	1.89	-56.86	0.96
11437.500000	1.83	-57.57	0.97
11625.000000	1.78	-58.25	0.96
11812.500000	1.74	-58.89	0.96
